"FileName","Drive_#","Access_Mode","Size","Last_Access","Last_Modify","Created"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\readhostfile.vbs","2","33060","697","2016/08/15 23:13:52","2008/08/15 18:00:38","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\regopen.vbs","2","33060","382","2016/08/15 23:13:52","2008/08/15 17:43:06","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\ReportClassName.vbs","2","33060","5597","2016/08/15 23:13:52","2008/08/15 17:12:40","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\screensaverchange.vbs","2","33060","1128","2016/08/15 23:13:52","2008/08/15 18:05:36","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\separateprocess.vbs","2","33060","497","2016/08/15 23:13:53","2008/08/15 17:02:18","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\specialfolder.vbs","2","33060","4080","2016/08/15 23:13:54","2008/08/15 17:12:00","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\systemuptime.vbs","2","33060","781","2016/08/15 23:13:55","2008/08/15 17:55:48","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Registry_Hacks_to_Review\window_placement.vbs","2","33060","175","2016/08/15 23:13:55","2008/08/15 17:01:48","2014/10/16 14:23:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\SQL_Server_2000_Resource_Kit\X0804969CD\TOOLSANDSAMPLES\METADATASCRIPTER\FOOTER.VBS","2","33060","95799","2016/08/16 08:33:03","2001/02/13 08:52:18","2014/10/16 14:23:24"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\SQL_Server_2000_Resource_Kit\X0804969CD\TOOLSANDSAMPLES\METADATASCRIPTER\HEADER.VBS","2","33060","1540","2016/08/16 08:33:03","2001/02/13 08:52:18","2014/10/16 14:23:24"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Win32_API\Calling_External_Programs\RunWait.VBS","2","33060","3387","2016/08/16 01:51:26","2006/08/19 17:34:46","2014/10/16 14:22:32"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\WinBatch_Stuff\evtextender\EvtExt\error.vbs","2","33060","84","2016/08/16 02:02:53","2002/12/16 18:30:48","2014/10/16 14:25:01"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\WinBatch_Stuff\WshDialog\WshDialog.vbs","2","33060","8273","2016/08/16 01:52:48","2004/11/12 02:04:00","2014/10/16 14:25:12"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\Windows_7\gshultz_V7R_1-22\CreateCanonical.vbs","2","33060","578","2016/08/16 01:53:12","2010/01/20 11:48:56","2014/10/16 14:25:14"
"C:\Documents and Settings\Public\Documents\H_DEASE\UTIL_from_ZAPHOD42\NBIDDQL.VBS","2","33206","6121","2016/08/14 21:16:52","2012/01/31 10:44:34","2014/10/28 12:00:38"
"C:\Documents and Settings\Public\Documents\NOLANB\BACKUPS\_Misc_Backups\UTIL_DAGDEV\UTIL_Milestone_20140129_113158\NBIDDQL.VBS","2","33206","6121","2016/08/15 04:32:28","2012/01/31 10:44:34","2015/09/01 00:11:57"
"C:\Documents and Settings\Public\Documents\NOLANB\TASKS\DataEase_on_X64\Windows_Server_REFERENCE\CALL_OUT_UTIL_20130423_111142\NBIDDQL.VBS","2","33206","6121","2016/08/15 04:34:26","2012/01/31 12:44:34","2014/10/17 10:45:17"
"C:\Documents and Settings\Public\Documents\NOLANB\TASKS\DataEase_on_X64\Windows_Server_REFERENCE\UTIL_SQLSERVER2K\NBIDDQL.VBS","2","33060","6121","2016/08/15 04:35:15","2012/01/31 11:44:34","2014/10/17 10:44:42"
"C:\Documents and Settings\Public\Documents\NOLANB\TASKS\_EMV_Credit_Card_Processing\_Deliverables_Prep\UTIL_ZAPHOD42_20160309_085628\NBIDDQL.VBS","2","33206","6121","2016/08/15 05:38:25","2012/01/31 09:44:34","2012/01/31 09:44:34"
"C:\Documents and Settings\Public\Documents\NOLANB\TASKS\_PTI_Gate_2016\UTIL_Rock_Hill\NBIDDQL.VBS","2","33206","6121","2016/08/15 03:24:31","2012/01/31 10:44:34","2012/01/31 10:44:34"
"C:\Documents and Settings\Public\Documents\NOLANB\_Installation_Packages\Remote\2013\20131016\REPORTS\UTIL_20130919_150654\NBIDDQL.VBS","2","33206","6121","2016/08/15 21:11:43","2012/01/31 11:44:34","2014/10/17 10:03:06"
"C:\Documents and Settings\Public\Documents\NOLANB\_Installation_Packages\UTIL_Reference\NBIDDQL.VBS","2","33060","6121","2016/08/14 23:45:07","2012/01/31 10:44:34","2014/10/17 10:04:09"
"C:\Documents and Settings\Public\Documents\Other_Clients\Justice_Marty\01137_Inspection_Worksheet\Experiments\hey0425.VBS","2","33060","5927","2016/08/15 03:49:45","2008/08/19 14:07:52","2008/08/19 13:50:04"
"C:\Documents and Settings\Public\Documents\Other_Clients\Justice_Marty\01137_Inspection_Worksheet\Experiments\tips0719.VBS","2","33060","6231","2016/08/15 03:49:48","2008/08/19 12:34:34","2008/08/19 11:51:49"
"C:\OEM\ABB\InstallAmazon_shortcut.vbs","2","33206","2654","2016/01/08 22:36:54","2012/02/29 02:56:08","2012/04/10 06:40:20"
"C:\OEM\Preload\Autorun\APP\AUPEO\MakeLinkAupeo.vbs","2","33206","708","2016/01/08 22:37:22","2010/08/08 23:07:12","2010/11/14 23:09:23"
"C:\OEM\Preload\Autorun\APP\Netflix Shortcut\InstallNetflixA.vbs","2","33206","3676","2016/01/08 22:40:52","2012/02/05 20:14:56","2012/04/10 06:41:19"
"C:\OEM\Preload\Autorun\APP\Netflix Shortcut\InstallNetflixE.vbs","2","33206","3681","2016/01/08 22:40:52","2012/02/05 20:15:18","2012/04/10 06:41:19"
"C:\OEM\Preload\Autorun\APP\Netflix Shortcut\InstallNetflixG.vbs","2","33206","3680","2016/01/08 22:40:52","2012/02/05 20:14:44","2012/04/10 06:41:19"
"C:\OEM\Preload\Autorun\APP\Netflix Shortcut\InstallNetflixP.vbs","2","33206","2048","2016/01/08 22:40:52","2012/03/13 02:41:36","2012/04/10 06:41:19"
"C:\OEM\Preload\utility\_NowIntoDT.vbs","2","33206","486","2016/01/08 22:45:26","2009/12/30 04:50:13","2012/04/10 06:42:40"
"C:\Program Files\ImageMagick-6.9.1-Q16\ImageMagickObject\Tests\ArrayTest.vbs","2","33206","3579","2016/01/08 22:46:29","2015/07/11 04:17:14","2015/07/16 12:17:23"
"C:\Program Files\ImageMagick-6.9.1-Q16\ImageMagickObject\Tests\SimpleTest.vbs","2","33206","1563","2016/01/08 22:46:29","2015/07/11 04:17:14","2015/07/16 12:17:23"
"C:\Program Files (x86)\Gateway\Welcome Center\Unpin\Unpin.vbs","2","33206","733","2016/01/08 22:59:32","2009/08/11 02:20:08","2009/08/11 02:20:08"
"C:\Program Files (x86)\Microsoft Office\Office14\OSPP.VBS","2","33206","49433","2016/09/11 04:51:58","2010/03/06 04:30:30","2010/03/06 04:30:30"
"C:\Program Files (x86)\Microsoft SDKs\Windows\v7.1A\Include\DHtmled.vbs","2","33206","14522","2016/01/08 23:04:55","2012/10/01 09:13:46","2012/10/01 09:13:46"
"C:\Program Files (x86)\Microsoft SDKs\Windows\v7.1A\Include\NNTPReg.Vbs","2","33206","28761","2016/01/08 23:04:57","2012/10/01 09:13:56","2012/10/01 09:13:56"
"C:\Program Files (x86)\Microsoft SDKs\Windows\v7.1A\Include\SMTPReg.Vbs","2","33206","27570","2016/01/08 23:04:58","2012/10/01 09:14:00","2012/10/01 09:14:00"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\register_app.vbs","2","33206","10946","2016/01/08 23:21:04","2013/07/22 15:19:48","2013/07/22 15:19:48"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\WiCompon.vbs","2","33206","8705","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\widialog.vbs","2","33206","4252","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\widiffdb.vbs","2","33206","4832","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\wiexport.vbs","2","33206","2837","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\wifeatur.vbs","2","33206","8232","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\wifilver.vbs","2","33206","10967","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\wigenxfm.vbs","2","33206","2186","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\wiimport.vbs","2","33206","3472","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\wilangid.vbs","2","33206","7448","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\wilstprd.vbs","2","33206","7637","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\wilstscr.vbs","2","33206","2467","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\wilstxfm.vbs","2","33206","4178","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
"C:\Program Files (x86)\Windows Kits\8.0\bin\x64\wimakcab.vbs","2","33206","12573","2016/01/08 23:21:04","2013/07/22 15:14:32","2013/07/22 15:14:32"
